champion,patch,n_picks,n_bans,n_presence_games,total_games,pick_rate,ban_rate,presence,n_games,avg_kda,avg_gold,avg_gpm,avg_dpm,avg_xp15,winrate,avg_firstblood,avg_goldat15,avg_csat15,avg_cspm,avg_firstdragon,avg_firsttower,avg_towers,avg_void_grubs,avg_barons,avg_infernals,avg_mountains,avg_clouds,avg_oceans,avg_chemtechs,avg_hextechs,avg_elders,corte,relevancia_bin,position
Skarner,15.01,27,233,260,272,0.09926470588235294,0.8566176470588235,0.9558823529411764,27,7.8494708994709,10894.296296296296,223.8080222222222,421.1268962962963,5698.851851851852,0.7037037037037037,0.25925925925925924,5121.444444444444,101.37037037037037,5.797096296296297,0.5185185185185185,0.7407407407407407,7.481481481481482,3.962962962962963,0.5555555555555556,0.4444444444444444,0.5185185185185185,0.4444444444444444,0.3703703703703703,0.18518518518518515,0.2962962962962963,0.07407407407407407,0.23897058823529413,1,Jungle
Varus,15.01,111,107,218,272,0.4080882352941176,0.39338235294117646,0.8014705882352942,111,5.96979836979837,14093.756756756757,293.93155495495495,721.5867288288288,5787.855855855856,0.5405405405405406,0.26126126126126126,5498.954954954955,132.9099099099099,8.699127927927927,0.5765765765765766,0.5315315315315315,6.4324324324324325,3.09009009009009,0.6486486486486487,0.27927927927927926,0.5495495495495496,0.4774774774774775,0.38738738738738737,0.1981981981981982,0.43243243243243246,0.0990990990990991,0.23897058823529413,1,ADC
K'Sante,15.01,110,99,209,272,0.4044117647058824,0.3639705882352941,0.7683823529411765,110,4.174025974025974,11667.50909090909,227.73206636363636,416.3053081818182,7252.272727272727,0.4909090909090909,0.12727272727272726,5050.881818181818,123.7,7.292253636363636,0.5,0.5272727272727272,5.827272727272727,3.227272727272727,0.6272727272727273,0.2727272727272727,0.5272727272727272,0.37272727272727274,0.41818181818181815,0.20909090909090908,0.4090909090909091,0.07272727272727272,0.23897058823529413,1,Top
Kalista,15.01,38,160,198,272,0.13970588235294118,0.5882352941176471,0.7279411764705882,38,5.598370927318296,15415.368421052632,308.8627368421053,651.3363710526315,5722.315789473684,0.5263157894736842,0.2894736842105263,5632.578947368421,135.6578947368421,8.731768421052632,0.5789473684210527,0.5526315789473685,6.473684210526316,3.1578947368421053,0.6842105263157895,0.34210526315789475,0.47368421052631576,0.6578947368421053,0.2894736842105263,0.21052631578947367,0.5263157894736842,0.05263157894736842,0.23897058823529413,1,ADC
Corki,15.01,102,93,195,272,0.375,0.34191176470588236,0.7169117647058824,102,5.944397759103642,14069.519607843138,303.33402843137253,764.5503696078431,6430.294117647059,0.43137254901960786,0.28431372549019607,5677.186274509804,136.85294117647058,9.305577450980392,0.38235294117647056,0.6176470588235294,5.7254901960784315,3.4705882352941178,0.4705882352941176,0.3431372549019608,0.37254901960784315,0.28431372549019607,0.4215686274509804,0.1568627450980392,0.27450980392156865,0.02941176470588235,0.23897058823529413,1,Mid
Viktor,15.01,76,111,187,272,0.27941176470588236,0.4080882352941176,0.6875,76,5.56593567251462,13090.078947368422,273.0134842105263,873.9728565789474,7221.631578947368,0.5657894736842105,0.1973684210526316,5383.078947368421,138.60526315789474,8.396521052631579,0.4473684210526316,0.5131578947368421,6.5394736842105265,2.960526315789474,0.6710526315789473,0.34210526315789475,0.4473684210526316,0.3157894736842105,0.40789473684210525,0.10526315789473684,0.40789473684210525,0.07894736842105263,0.23897058823529413,1,Mid
Rell,15.01,134,39,173,272,0.49264705882352944,0.14338235294117646,0.6360294117647058,134,6.062298625918029,8270.850746268658,126.6990156716418,183.66716865671643,3326.477611940298,0.582089552238806,0.373134328358209,3605.4402985074626,22.08208955223881,1.0350097014925372,0.47761194029850745,0.4925373134328358,6.634328358208955,2.985074626865672,0.6194029850746269,0.35074626865671643,0.5447761194029851,0.3208955223880597,0.40298507462686567,0.16417910447761194,0.4104477611940298,0.07462686567164178,0.23897058823529413,1,Support
Vi,15.01,78,85,163,272,0.2867647058823529,0.3125,0.5992647058823529,78,4.631171143671144,11411.692307692309,216.14040897435896,332.9667512820513,5853.333333333333,0.4871794871794872,0.32051282051282054,4988.461538461538,105.42307692307692,6.204364102564103,0.5897435897435898,0.41025641025641024,5.897435897435898,2.628205128205128,0.5641025641025641,0.4230769230769231,0.4230769230769231,0.4871794871794872,0.34615384615384615,0.20512820512820512,0.4230769230769231,0.1153846153846154,0.23897058823529413,1,Jungle
Rumble,15.01,66,78,144,272,0.2426470588235294,0.2867647058823529,0.5294117647058824,66,5.749350649350649,12711.939393939394,259.46866666666665,728.3926378787879,7133.590909090909,0.5909090909090909,0.15151515151515152,5119.393939393939,122.3030303030303,7.551727272727272,0.3939393939393939,0.5,6.484848484848484,3.1818181818181817,0.6363636363636364,0.3787878787878788,0.5303030303030303,0.3636363636363637,0.42424242424242425,0.0303030303030303,0.48484848484848486,0.07575757575757576,0.23897058823529413,1,Top
Ambessa,15.01,80,62,142,272,0.29411764705882354,0.22794117647058823,0.5220588235294118,80,4.578035714285714,12786.025,258.1489175,636.81064625,7065.1625,0.5375,0.125,5010.825,116.9,7.62727375,0.475,0.4125,6.2125,2.825,0.575,0.4875,0.425,0.425,0.425,0.0875,0.375,0.0625,0.23897058823529413,1,Top
